goos: linux
goarch: amd64
pkg: github.com/VeloxCoding/hazedb
cpu: AMD RYZEN AI MAX+ 395 w/ Radeon 8060S          
BenchmarkInsert_SQLiteMem-32                	  724466	      1721 ns/op	     336 B/op	       9 allocs/op
BenchmarkInsert_SQLiteMem-32                	  689985	      1726 ns/op	     336 B/op	       9 allocs/op
BenchmarkInsert_SQLiteMem-32                	  729997	      1720 ns/op	     336 B/op	       9 allocs/op
BenchmarkSelectByPK_SQLiteMem-32            	  560365	      1929 ns/op	     640 B/op	      24 allocs/op
BenchmarkSelectByPK_SQLiteMem-32            	  584930	      1958 ns/op	     640 B/op	      24 allocs/op
BenchmarkSelectByPK_SQLiteMem-32            	  627027	      1965 ns/op	     640 B/op	      24 allocs/op
BenchmarkUpdateByPK_SQLiteMem-32            	 1161987	      1044 ns/op	     248 B/op	       8 allocs/op
BenchmarkUpdateByPK_SQLiteMem-32            	 1167781	      1036 ns/op	     248 B/op	       8 allocs/op
BenchmarkUpdateByPK_SQLiteMem-32            	 1176256	      1015 ns/op	     248 B/op	       8 allocs/op
BenchmarkInsert_SQLitePureMem-32            	   77107	     15699 ns/op	     264 B/op	       9 allocs/op
BenchmarkInsert_SQLitePureMem-32            	   67334	     15855 ns/op	     264 B/op	       9 allocs/op
BenchmarkInsert_SQLitePureMem-32            	   78393	     15213 ns/op	     264 B/op	       9 allocs/op
BenchmarkSelectByPK_SQLitePureMem-32        	  290612	      3956 ns/op	     576 B/op	      22 allocs/op
BenchmarkSelectByPK_SQLitePureMem-32        	  287160	      3939 ns/op	     576 B/op	      22 allocs/op
BenchmarkSelectByPK_SQLitePureMem-32        	  289423	      3954 ns/op	     576 B/op	      22 allocs/op
BenchmarkUpdateByPK_SQLitePureMem-32        	  359235	      3251 ns/op	     200 B/op	       8 allocs/op
BenchmarkUpdateByPK_SQLitePureMem-32        	  365892	      3230 ns/op	     200 B/op	       8 allocs/op
